Sample,Species,Prev.
Cancer borealis,CA,100
Aphthona venustula,CA,100
Crioceris duodecimpunctata,CA,100
Centricnemus leucogrammus,CA,100
Arabidopsis,CA,100
Oenothera,CA,100
Rubus,CA,100
Punica granatum,CA,100
Cyamopsis tetragonoloba,CA,100
179.C.PMA,CA,100
Branchiostoma belcheri,CA,100
Candidatus Entotheonella sp.,CA,100
Daphnia obtusa,CA,100
Diospyros kaki,CA,100
Eublepharis macularius,CA,100
Gemmatimonas,CA,100
Rhipicephalus haemaphysaloides,CA,100
Skermanella,CA,100
Argoptochus quadrisignatus,CA,90
Bembidion modestum,CA,90
Crotalaria retusa,CA,75
Lantana,CA,75
human milk metagenome,CA,68.0412371134021
Lactobacillus crispatus,CA,66.6666666666667
Bembidion decorum,CA,66.6666666666667
Nepenthes rafflesiana,CA,62.7906976744186
Metrosideros polymorpha,CA,62.2222222222222
human nasal/pharyngeal metagenome,CA,60.4444444444444
Bembidion punctulatum,CA,60
Eusomus ovulum,CA,60
Aphodius depressus,CA,60
Onthophagus ruficapillus,CA,60
Aphodius haemorrhoidalis,CA,60
Onthophagus similis,CA,60
Ochlerotatus stimulans,CA,52.5
Caenorhabditis elegans,CA,50.5882352941176
Alphaproteobacteria,CA,50
Polydrusus inustus,CA,50
Solanum lycopersicum,CA,50
Bembidion varicolor,CA,50
Sophora,CA,50
Acacia koa,CA,50
Mycale grandis,CA,50
Solirubrobacter,CA,50
dinoflagellate metagenome,CA,50
invertebrate metagenome,CA,48.8372093023256
Bacteriastrum furcatum,CA,48
Litoditis marina,CA,45.4545454545455
Enterovirus D68,CA,44.4444444444444
urogenital metagenome,CA,42
Phormia,CA,41.1764705882353
Heptageniidae environmental sample,CA,40.3508771929825
Paederidus ruficollis,CA,40
Aphodius pusillus,CA,40
hospital metagenome,CA,36.5079365079365
dust metagenome,CA,36.4440078585462
beetle metagenome,CA,36.3914373088685
urban metagenome,CA,34.2857142857143
Brassica rapa var. Rapa,CA,33.3333333333333
Paederidus rubrothoracicus,CA,33.3333333333333
Oncorhynchus keta,CA,33.3333333333333
Trachemys scripta,CA,33.3333333333333
Gaiella,CA,33.3333333333333
Haliangium,CA,33.3333333333333
Lucilia,CA,33.3333333333333
Rotavirus A,CA,33.3333333333333
human nasopharyngeal metagenome,CA,32.9896907216495
Lactobacillus acidifarinae,CA,32.5
Tripneustes gratilla,CA,30.7692307692308
air metagenome,CA,30.2769818529131
zebrafish metagenome,CA,30
Daucus carota,CA,30
Cheilotoma musciformis,CA,30
Helicobacter pylori,CA,29.1970802919708
mine tailings metagenome,CA,27.7777777777778
1214906,CA,26.8292682926829
insect environmental sample,CA,25
Carica papaya,CA,25
Brassica oleracea var. botrytis,CA,25
Chamaecrista,CA,25
fish metagenome,CA,24.929178470255
Aedes albopictus,CA,24.390243902439
human skin metagenome,CA,24.0185471406491
Subpsaltria yangi,CA,22.5806451612903
Brassica napus var. Napus,CA,22.2222222222222
Anas platyrhynchos,CA,21.4285714285714
Brassica oleracea var. capitata,CA,20
Aphis gossypii,CA,20
Crioceris quatuordecimpunctata,CA,20
Diplotaxis tenuifolia,CA,20
Paederus riparius,CA,20
Onthophagus ovatus,CA,20
Aphodius sphacelatus,CA,20
Norovirus 02/2010/Nanjing,CA,20
Onthophagus taurus,CA,20
Python regius,CA,20
unidentified virus,CA,19.4805194805195
Calliphora,CA,19.4444444444444
invertebrate gut metagenome,CA,18.75
Salmo salar,CA,18.5929648241206
Megaptera novaeangliae,CA,18.4615384615385
salt lake metagenome,CA,18.1818181818182
Calliphora terraenovae,CA,16.1290322580645
Saxifraga oppositifolia,CA,15
cave metagenome,CA,15
pig metagenome,CA,14.5438898450947
Brassica napus,CA,14.2348754448399
rock metagenome,CA,14.2011834319527
echinoderm metagenome,CA,13.8888888888889
coral metagenome,CA,12.8443649373882
Vitis vinifera,CA,12.7049180327869
enrichment culture,CA,12.6126126126126
honey metagenome,CA,12.5
human bile metagenome,CA,12.5
koala metagenome,CA,12.5
cetacean metagenome,CA,12.5
skin metagenome,CA,12.1396054628225
Lactobacillus,CA,12.0879120879121
Bactrocera dorsalis,CA,11.9047619047619
Cyprinus carpio,CA,11.7647058823529
shrimp gut metagenome,CA,11.6279069767442
milk metagenome,CA,11.4637305699482
Euprymna scolopes,CA,11.2903225806452
Sus scrofa,CA,10.9756097560976
Peromyscus leucopus,CA,10.655737704918
human metagenome,CA,10.3512573703573
Rhipicephalus sanguineus,CA,10.2564102564103
Rhizoctonia solani,CA,10
Hyphochytrium catenoides,CA,10
Paederus limnophilus,CA,10
alkali sediment metagenome,CA,10
urine metagenome,CA,9.93377483443709
respiratory tract metagenome,CA,9.53461975028377
Homo sapiens,CA,9.53303858034038
Littoraria irrorata,CA,9.52380952380952
aerosol metagenome,CA,9.30232558139535
insect metagenome,CA,9.19689119170984
Crassostrea gigas,CA,9.05982905982906
clinical metagenome,CA,8.88888888888889
fish gut metagenome,CA,8.5
indoor metagenome,CA,8.34492350486787
beach sand metagenome,CA,8.33333333333333
Dermacentor andersoni,CA,8.33333333333333
rumen bacterium 1/9293-11A,CA,8.33333333333333
annelid metagenome,CA,8.10810810810811
Drosophila simulans,CA,8
Oncorhynchus mykiss,CA,7.82608695652174
408170,CA,7.69230769230769
upper respiratory tract metagenome,CA,7.6056338028169
Phaseolus vulgaris,CA,7.35294117647059
mosquito metagenome,CA,7.2790294627383
Bombus terrestris,CA,7.14285714285714
plastic metagenome,CA,7.14285714285714
Bos grunniens,CA,7.14285714285714
Reticulitermes flavipes,CA,6.89655172413793
phyllosphere metagenome,CA,6.78605089538172
Proteobacteria,CA,6.71140939597315
Drosophila melanogaster,CA,6.66666666666667
symbiont metagenome,CA,6.53266331658292
Pristionchus pacificus,CA,6.50887573964497
ant metagenome,CA,6.45161290322581
oil field metagenome,CA,6.25
Hirundo rustica,CA,6.17906683480454
tick metagenome,CA,6.16438356164384
floral nectar metagenome,CA,6.16016427104723
uncultured bacterium,CA,6.10613036103707
amplicon sequences,CA,6.06060606060606
Sparus aurata,CA,6
marine sediment metagenome,CA,5.82614056720099
seagrass metagenome,CA,5.26315789473684
root metagenome,CA,5.18774703557312
metagenomes,CA,5.16581632653061
metagenome,CA,5.09930220075148
crustacean metagenome,CA,5.02283105022831
16S rRNA gene amplicons,CA,5
Fungia,CA,4.87804878048781
glacier metagenome,CA,4.8582995951417
Bacteria,CA,4.77178423236515
frog metagenome,CA,4.76190476190476
insect gut metagenome,CA,4.71945464079706
Oscheius brevesophaga,CA,4.6875
mouse metagenome,CA,4.60739779364049
bird metagenome,CA,4.54545454545455
biofilter metagenome,CA,4.41988950276243
Ixodes scapularis,CA,4.3956043956044
coral reef metagenome,CA,4.34782608695652
unclassified sequences,CA,4.30107526881721
hot springs metagenome,CA,4.29594272076372
Ascomycota,CA,4.16666666666667
human gut metagenome,CA,4.15870437607491
ice metagenome,CA,4.03397027600849
groundwater metagenome,CA,4.02684563758389
bacterial mixed DNA library,CA,4
solid waste metagenome,CA,4
outdoor metagenome,CA,3.96039603960396
crab metagenome,CA,3.92156862745098
freshwater metagenome,CA,3.86486671691907
plastisphere metagenome,CA,3.84615384615385
human lung metagenome,CA,3.78684807256236
Mus musculus domesticus,CA,3.77358490566038
Struthio camelus,CA,3.69458128078818
plant metagenome,CA,3.6856458143955
aquatic metagenome,CA,3.57381111217002
nematode metagenome,CA,3.35570469798658
Porites lobata,CA,3.33333333333333
Porites rus,CA,3.33333333333333
Glycine max,CA,3.27868852459016
bovine metagenome,CA,3.26975476839237
mollusc metagenome,CA,3.18471337579618
primate metagenome,CA,3.15315315315315
terrestrial metagenome,CA,3.04396843291995
Musca domestica,CA,3.03030303030303
