names	Country	Isolation_site
CASDBCl5570	Switzerland	Nasal
CASDBCl5456	Switzerland	Nasal
CASDBCI5886	Switzerland	Nasal
CASDBCl6012	Switzerland	Nasal
CASH23	Germany	Nasal
CASH41	Germany	Nasal
CASH79	Germany	Nasal
CASH98	Germany	Nasal
CASH157	Germany	Nasal
CALRKp3SID1129	USA	Nasal
CASH184	Germany	Nasal
CASH192	Germany	Nasal
CASH219	Germany	Nasal
CASH247	Germany	Nasal
CASH262	Germany	Nasal
CASH281	Germany	Nasal
CAKPL1818	USA	Nasal
CAKPL1824	USA	Nasal
CAKPL1855	USA	Nasal
CAKPL1996	USA	Nasal
CAKPL1998	USA	Nasal
CAKPL2004	USA	Nasal
CAKPL1986	USA	Nasal
CAATCC49725	Czechia	Cervix
CAATCC49726	Czechia	Nasal
CAMAMC787	Australia	Nasal
CAMAMC779	Australia	Nasal
CAMAMC781	Australia	Nasal
CABBMGSS02097	Japan	Facial_skin
CANCTC934	UK	Nasal
CMSS14T631	Sweden	Ocular
CMSS14T168	Sweden	Ocular
CMSS14T514	Sweden	Ocular
CMSS14T424	Sweden	Ocular
CMSS12T66	Sweden	Ocular
CMSS12T220	Sweden	Ocular
CMSS9T245	Sweden	Ocular
CMSS06T638	Sweden	Ocular
CMSS180208	Sweden	Ocular
CMSS180216	Sweden	Ocular
CMSS180126	Sweden	Ocular
CMSS170718	Sweden	Ocular
CMSS171203	Sweden	Ocular
CMSS171015	Sweden	Ocular
CMSS161211	Sweden	Ocular
CMSS160812	Sweden	Ocular
CMSS160811	Sweden	Ocular
CMSS160430	Sweden	Ocular
CMSS160806	Sweden	Ocular
CMSS160603	Sweden	Ocular
CMSS151011	Sweden	Ocular
CMSS150801	Sweden	Ocular
CMCCUG32361	France	Ocular
CMNML120205	Canada	Ocular
CMNML080212	Canada	Ocular
CABKPLMKS099	Botswana	Nasal
CABKPLMSK070	Botswana	Nasal
CABKPLMSK091	Botswana	Nasal
CABKPLMSK096	Botswana	Nasal
CABKPLMSK109	Botswana	Nasal
CABKPLMSK121	Botswana	Nasal
CABKPLMSK125	Botswana	Nasal
CABKPLMSK161	Botswana	Nasal
CABKPLMSK270	Botswana	Nasal
CABKPLMSK273	Botswana	Nasal
CAKPL079	USA	Nasal
CAKPL2617	USA	Nasal
CAKPL2618	USA	Nasal
CAKPL2641	USA	Nasal
CAKPL2652	USA	Nasal
CAKPL2660	USA	Nasal
CAKPL2783	USA	Nasal
CAKPL2859	USA	Nasal
CAKPL3647	USA	Nasal
CAKPL3674	USA	Nasal
CAKPL3703	USA	Nasal
CAKPL3774	USA	Nasal
CAKPL3802	USA	Nasal
CAKPL3832	USA	Nasal
CAKPL3921	USA	Nasal
CAKPL3926	USA	Nasal
CAKPL3970	USA	Nasal
CAKPL4034	USA	Nasal
CAKPL4065	USA	Nasal
CAKPL4075	USA	Nasal
CAKPLMKS076	USA	Nasal
CAKPLMSK075	USA	Nasal
CAKPLMSK077	USA	Nasal
CADSCA1	Hungary	Nasal
CADSCA2	Hungary	Nasal
CADSCA3	Hungary	Nasal
CADSCA4	Hungary	Nasal
CADSCA5	Hungary	Nasal
CADSCA6	Hungary	Nasal
CADSCA7	Hungary	Nasal
CADSCA8	Hungary	Nasal
CADSCA9	Hungary	Nasal
CAPCR4	Norway	Ocular
CAPCR22	Norway	Ocular
CAPCR20	Norway	Ocular
CAPCR19	Norway	Ocular
CAPCR31	Norway	Ocular
CAPCR23	Norway	Ocular
CMPCR7	Norway	Ocular
