Species,iron_siderophore_transport
CA_I,25
CA_I,29
CA_I,24
CA_I,25
CA_I,29
CA_I,33
CA_I,33
CA_I,25
CA_I,25
CA_I,25
CA_I,29
CA_I,29
CA_I,33
CA_I,29
CA_I,29
CA_I,29
CA_I,31
CA_I,27
CA_I,25
CA_I,34
CA_I,29
CA_I,33
CA_I,36
CA_I,33
CA_I,33
CA_I,33
CA_I,33
CA_I,33
CA_I,30
CA_I,29
CA_I,36
CA_I,28
CA_I,29
CA_I,29
CA_I,29
CA_I,25
CA_I,33
CA_I,27
CA_I,33
CA_I,31
CA_I,29
CA_I,33
CA_I,33
CA_I,33
CA_I,33
CA_I,27
CA_I,33
CA_I,25
CA_I,29
CA_I,25
CA_I,33
CA_I,33
CA_I,32
CA_I,33
CA_I,25
CA_I,25
CA_I,33
CA_I,33
CA_I,25
CA_I,25
CA_I,26
CA_I,29
CA_I,25
CA_I,33
CA_I,25
CA_I,29
CA_I,25
CA_I,29
CA_I,29
CA_I,27
CA_II,29
CA_II,25
CA_II,26
CA_II,23
CA_II,26
CA_III,17
CA_III,20
CA_IV,23
CM,17
CM,21
CM,19
CM,19
CM,19
CM,19
CM,19
CM,19
CM,19
CM,19
CM,17
CM,21
CM,19
CM,19
CM,22
CM,21
CM,15
CM,21
CM,19
CM,19
CM,19
CM,19
CM,19
CM,19
CM,19
CM,19
