Gene_names,log2FoldChange,padj
gene-HMPREF1261_RS03245,9.60703590463373,0
gene-HMPREF1261_RS01765,9.12962651019142,0
gene-HMPREF1261_RS03250,8.81658937642314,0
gene-HMPREF1261_RS01760,8.51909287735997,0
gene-HMPREF1261_RS03260,8.38422555828737,1.385580618466E-215
gene-HMPREF1261_RS03265,8.11331041303015,0
gene-HMPREF1261_RS03255,8.05919424658913,0
gene-HMPREF1261_RS03275,8.00964033348189,0
gene-HMPREF1261_RS01755,7.71742334520458,0
gene-HMPREF1261_RS03240,7.56428884953191,3.19718238777187E-98
gene-HMPREF1261_RS09800,7.23855722291091,0
gene-HMPREF1261_RS03270,7.1738945878406,0
gene-HMPREF1261_RS13165,6.7184378765032,0
gene-HMPREF1261_RS09790,6.33082007670179,0
gene-HMPREF1261_RS04110,5.94313795050668,0
gene-HMPREF1261_RS09785,5.92489041295115,0
gene-HMPREF1261_RS09780,5.63577860030372,0
gene-HMPREF1261_RS03100,5.60911642607163,0
gene-HMPREF1261_RS11790,5.58229458141819,5.7683004331726E-63
gene-HMPREF1261_RS11785,5.50732191993146,1.47777811555721E-246
gene-HMPREF1261_RS03055,5.43321142127699,0
gene-HMPREF1261_RS13105,4.80462422176854,2.67122469519279E-19
gene-HMPREF1261_RS05695,4.77283666926859,0
gene-HMPREF1261_RS05675,4.75721985925969,1.97880364981926E-301
gene-HMPREF1261_RS04095,4.68848209681069,0
gene-HMPREF1261_RS04105,4.60688020251864,0
gene-HMPREF1261_RS03060,4.47694203607943,1.61387960535709E-230
gene-HMPREF1261_RS03090,4.441169715278,0
gene-HMPREF1261_RS03095,4.37094217251651,2.23998977203895E-263
gene-HMPREF1261_RS05685,4.28275473221115,9.30964306058751E-175
gene-HMPREF1261_RS04100,4.20805459665137,0
gene-HMPREF1261_RS03085,4.16065483739135,1.06043742886761E-204
gene-HMPREF1261_RS12355,4.01747386993764,1.15728617707532E-291
gene-HMPREF1261_RS05680,3.87615662901519,1.35581159879853E-168
gene-HMPREF1261_RS05690,3.53524525654205,1.48688875163546E-305
